,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,mes
0,A CORUÑA,20.262083333333333,0.40042016806722686,8.037162162162161,15.996666666666666,24.529999999999998,agosto
1,ALBACETE,25.786178861788617,0.9317073170731707,11.014285714285714,17.927642276422763,33.65284552845529,agosto
2,ALICANTE,27.54274193548387,0.18870967741935485,11.206451612903226,21.10725806451613,33.979838709677416,agosto
3,ALMERIA,27.325174825174827,0.08857142857142858,6.398387096774194,21.953146853146855,32.6993006993007,agosto
4,ARABA/ALAVA,22.34193548387097,0.21320754716981133,8.469354838709679,14.45483870967742,30.235483870967744,agosto
5,ASTURIAS,19.806606606606607,1.9342592592592593,5.7190697674418605,16.32732732732733,23.281981981981982,agosto
6,AVILA,25.094871794871796,0.16,11.396774193548387,17.753846153846155,32.44102564102564,agosto
7,BADAJOZ,27.6494623655914,0.034408602150537634,11.680392156862744,19.031720430107526,36.261827956989244,agosto
8,BARCELONA,26.902479338842973,2.288888888888889,9.783516483516483,21.3099173553719,32.49504132231405,agosto
9,BIZKAIA,22.455339805825243,0.9704918032786886,6.938709677419355,18.011650485436892,26.90097087378641,agosto
10,BURGOS,22.474838709677417,0.6736842105263158,8.953658536585365,13.973548387096775,30.97548387096774,agosto
11,CACERES,28.04193548387097,0.025806451612903226,11.695652173913043,19.861935483870965,36.22258064516129,agosto
12,CADIZ,25.39767441860465,0.04811320754716981,10.614516129032259,20.528372093023258,30.26093023255814,agosto
13,CANTABRIA,21.40552995391705,1.672772277227723,7.011827956989247,16.834562211981567,25.977880184331795,agosto
14,CASTELLON,24.01935483870968,0.4754237288135593,9.80967741935484,18.36021505376344,29.688172043010752,agosto
15,CIUDAD REAL,27.613548387096778,0.25870967741935486,10.961290322580645,19.488387096774193,35.74,agosto
16,CORDOBA,27.991869918699187,0.11092436974789915,12.5,19.98861788617886,36.00487804878049,agosto
17,CUENCA,26.326785714285712,0.31333333333333335,9.193548387096774,18.394642857142856,34.25714285714286,agosto
18,GIPUZKOA,22.51236559139785,3.8182320441988953,6.911827956989247,18.351612903225806,26.675806451612903,agosto
19,GIRONA,23.182113821138213,2.647107438016529,8.183333333333334,15.834959349593497,30.530081300813006,agosto
20,GRANADA,27.2241935483871,0.05655737704918033,11.385483870967741,18.01290322580645,36.44112903225806,agosto
21,GUADALAJARA,23.60108695652174,0.6069767441860465,10.570491803278689,15.031521739130433,32.18043478260869,agosto
22,HUELVA,25.083870967741937,0.15161290322580645,10.996774193548386,18.868548387096773,31.29274193548387,agosto
23,HUESCA,23.73252032520325,1.5926829268292684,8.895652173913044,15.59430894308943,31.86829268292683,agosto
24,ILLES BALEARS,27.2931654676259,0.8566308243727598,10.678260869565218,22.188489208633094,32.4068345323741,agosto
25,JAEN,28.621276595744682,0.08541666666666667,11.44516129032258,20.92695035460993,36.314184397163125,agosto
26,LA RIOJA,25.280645161290323,0.5035714285714286,9.932258064516128,17.52258064516129,33.02903225806452,agosto
27,LAS PALMAS,24.879716981132077,0.03878504672897196,10.294444444444444,21.920283018867927,27.841037735849056,agosto
28,LEON,22.782795698924733,0.8891304347826087,10.522972972972974,14.694623655913977,30.877419354838707,agosto
29,LLEIDA,24.08833333333333,2.0876404494382026,11.567741935483872,15.965,32.208333333333336,agosto
30,LUGO,20.825925925925926,0.46451612903225803,7.423076923076923,14.337037037037037,27.31111111111111,agosto
31,MADRID,25.23521505376344,0.09476584022038567,11.149462365591399,18.15994623655914,32.303225806451614,agosto
32,MALAGA,26.81864406779661,0.09217877094972067,10.72258064516129,22.164971751412427,31.4774011299435,agosto
33,MURCIA,28.039032258064516,0.14607843137254903,11.144444444444444,21.533225806451615,34.53741935483871,agosto
34,NAVARRA,24.736129032258063,1.0603896103896104,9.580645161290322,17.175483870967742,32.28645161290322,agosto
35,OURENSE,23.08467741935484,0.24758064516129033,9.131666666666666,14.115322580645161,32.04758064516129,agosto
36,PALENCIA,22.249462365591395,0.9150537634408602,8.76393442622951,13.364516129032259,31.134408602150536,agosto
37,PONTEVEDRA,21.81967213114754,0.5035714285714286,10.448214285714286,16.080327868852457,27.562903225806455,agosto
38,SALAMANCA,23.192903225806454,0.3091503267973856,11.381739130434783,14.76774193548387,31.623870967741933,agosto
39,SEGOVIA,22.203225806451613,0.1206896551724138,10.498387096774193,16.182258064516127,28.217741935483872,agosto
40,SEVILLA,27.631612903225804,0.0922077922077922,11.293548387096775,19.27548387096774,36.0,agosto
41,SORIA,23.203225806451613,0.848,10.364516129032259,14.729032258064517,31.674193548387095,agosto
42,STA. CRUZ DE TENERIFE,23.914516129032258,0.16086956521739132,9.652150537634409,20.509677419354837,27.318709677419353,agosto
43,TARRAGONA,27.975806451612904,0.9950819672131148,10.22258064516129,21.664516129032258,34.28709677419355,agosto
44,TERUEL,25.61209677419355,0.7333333333333334,9.653763440860214,17.245967741935484,33.974999999999994,agosto
45,TOLEDO,27.982608695652175,0.2198675496688742,11.878333333333334,19.316304347826087,36.65652173913043,agosto
46,VALENCIA,27.869729729729727,0.8919354838709678,10.96774193548387,21.717297297297296,34.024324324324326,agosto
47,VALLADOLID,24.14516129032258,0.5816666666666667,11.274193548387096,15.73225806451613,32.55806451612903,agosto
48,ZAMORA,24.37849462365591,0.6913978494623656,11.241758241758241,15.470967741935484,33.28172043010753,agosto
49,ZARAGOZA,26.294193548387096,0.5842105263157894,10.623770491803278,18.540645161290325,34.05483870967742,agosto
